VCF0839,VCF9042,VCF9040,VCF9017,VCF9271,VCF0886,VCF9041,VCF9273,VCF9039,VCF0806,VCF9248,VCF0004,VCF0852,VCF9018,VCF9013,VCF0876a,VCF0888,VCF0872,VCF9237,VCF0609,VCF9246,VCF9049,VCF0830,VCF9270,VCF0838,VCF0871,VCF0809,VCF0733,VCF9047,VCF9206,VCF9272,VCF0853,VCF9016,VCF0843,VCF0867a,VCF0890,VCF0606,VCF0624,VCF0894,VCF9249,VCF0310,VCF0850
0,9,9,9,1,2,9,1,9,0,-9,2008,9,9,9,4,2,9,1,0,-9,2,9,1,0,5,0,9,2,1,1,9,9,0,9,1,0,0,2,-9,3,1
5,2,3,4,2,1,5,4,2,2,1,2008,2,2,2,1,1,9,1,0,3,1,1,4,4,5,2,2,2,2,5,3,5,5,1,1,1,3,1,3,3,1
0,3,3,1,-8,1,3,-8,3,0,3,2008,2,1,1,2,1,1,-8,0,3,1,1,-8,0,5,0,9,1,3,-8,3,3,0,1,1,0,3,1,3,0,1
5,4,3,4,1,1,2,3,3,3,3,2008,2,2,2,5,2,9,4,1,3,1,2,4,4,5,4,0,1,3,3,2,3,5,1,1,1,2,1,2,0,1
9,2,3,5,1,1,2,1,4,9,3,2008,2,1,1,2,1,3,5,0,3,1,2,2,4,4,9,5,1,1,1,2,5,9,1,1,1,3,1,3,0,1
7,1,2,1,5,1,1,6,2,1,3,2008,2,1,1,4,1,1,5,2,3,1,1,5,2,5,1,5,1,1,1,1,4,5,4,1,1,3,3,3,0,3
9,3,3,3,1,1,3,1,3,5,2,2008,3,3,1,5,1,9,4,0,2,1,4,1,2,5,4,0,1,1,1,3,3,4,4,1,2,2,3,2,0,1
9,3,2,2,1,1,3,3,3,4,3,2008,2,1,1,4,1,9,4,0,3,1,9,5,1,5,9,0,2,3,4,2,1,9,2,1,1,2,1,3,0,1
9,2,2,4,5,1,2,4,2,1,3,2008,2,1,1,2,3,1,2,0,3,1,3,3,1,5,1,6,1,3,4,2,5,4,4,1,1,3,1,3,0,1
0,3,1,1,2,1,3,3,2,0,3,2008,1,1,1,1,1,9,5,0,1,1,9,2,0,4,0,9,1,3,3,1,2,0,1,1,1,3,1,3,2,2
9,1,3,1,1,1,2,4,2,2,1,2008,2,5,1,5,1,9,1,0,3,1,1,7,3,5,1,7,1,1,1,3,5,2,1,1,1,3,1,3,2,1
0,1,5,5,3,1,5,1,1,0,3,2008,5,1,1,5,3,5,5,0,3,1,1,3,0,5,0,9,1,1,3,5,5,0,1,1,1,1,1,3,2,1
9,3,2,4,5,1,1,1,3,9,3,2008,2,2,3,1,1,9,-8,1,3,1,5,3,4,4,3,2,2,3,2,1,3,4,1,1,1,1,1,3,3,2
0,2,8,1,1,1,8,4,4,0,2,2008,5,2,1,2,1,1,5,2,2,1,1,1,0,4,0,9,1,3,1,4,2,0,5,1,2,3,2,2,0,1
0,1,1,2,1,1,2,2,1,0,3,2008,2,1,1,2,1,1,5,1,2,1,7,7,0,2,0,9,1,2,1,2,3,0,5,1,1,3,1,2,2,2
7,1,1,1,3,1,1,2,2,1,2,2008,1,1,1,5,1,9,5,0,3,1,9,2,1,3,1,7,2,2,1,1,4,5,1,1,1,3,2,3,3,1
0,1,1,1,3,1,4,1,2,0,2,2008,1,1,1,5,1,3,5,0,2,1,1,5,0,4,0,9,2,2,7,1,2,0,7,1,2,3,2,2,0,2
0,3,3,3,1,1,3,1,3,0,3,2008,2,2,2,5,1,9,1,1,2,1,9,1,0,3,0,9,1,3,1,3,3,0,1,1,2,3,1,2,2,1
6,2,2,4,1,1,4,4,2,5,2,2008,2,2,1,1,3,3,5,1,3,1,9,1,1,4,1,3,2,3,3,2,4,1,1,1,1,2,2,2,0,1
6,2,1,2,2,1,2,2,2,7,2,2008,1,2,1,1,1,3,5,1,3,1,6,4,2,5,5,0,1,3,1,2,3,5,2,1,2,2,2,3,0,1
4,3,3,3,4,2,3,4,3,4,2,2008,2,1,1,2,1,5,5,0,2,2,3,4,1,4,4,0,1,3,4,3,3,4,1,1,2,1,2,3,0,1
1,5,2,1,4,3,1,2,4,7,2,2008,1,4,1,1,2,9,1,1,3,2,7,3,2,4,7,1,1,3,3,1,2,7,5,3,1,3,3,2,2,1
0,4,2,4,4,2,2,1,5,0,2,2008,4,2,2,5,1,9,1,0,2,2,6,5,0,5,0,9,2,1,3,1,4,0,5,1,1,3,3,2,0,1
0,4,2,2,4,2,1,3,4,0,2,2008,5,3,1,5,1,5,1,0,2,2,7,4,0,4,0,9,2,2,4,1,2,0,5,2,1,3,3,2,0,1
2,5,2,2,4,3,2,4,2,7,2,2008,4,4,4,5,3,1,1,0,3,2,7,4,2,5,7,3,3,1,3,2,4,4,5,2,1,1,3,3,0,2
9,5,1,2,4,1,1,2,4,1,2,2008,2,2,1,1,1,9,5,2,2,1,5,3,2,4,9,0,1,2,1,3,3,9,5,1,2,3,2,2,0,2
9,3,3,2,3,1,1,2,5,7,1,2008,3,1,1,1,2,9,2,0,1,2,7,3,4,3,7,0,2,3,2,4,3,9,4,1,2,2,2,3,2,2
0,4,4,4,5,1,2,2,4,0,3,2008,4,1,1,1,1,5,1,1,3,1,5,5,0,5,0,9,1,2,2,1,2,0,5,1,1,3,1,3,2,2
7,1,3,3,4,2,5,1,3,1,3,2008,1,3,3,1,2,5,5,0,3,1,9,1,1,4,9,0,2,3,-8,1,3,9,4,1,1,2,8,2,1,1
0,5,1,2,4,2,1,2,5,0,2,2008,5,4,1,5,1,1,4,0,2,1,5,3,0,4,0,9,2,1,2,1,3,0,5,1,1,3,3,2,3,1
0,9,9,9,4,1,9,4,9,0,-9,2008,9,9,9,2,1,9,4,0,-9,1,4,4,0,5,0,9,1,2,4,9,9,0,9,1,0,0,3,-9,0,1
3,3,2,4,2,2,2,3,3,7,3,2008,2,1,1,1,1,3,2,1,2,2,4,2,3,2,7,3,2,3,7,2,8,3,1,1,1,1,2,3,1,1
5,5,1,5,3,1,2,1,5,1,2,2008,5,1,1,1,2,9,5,2,2,1,7,2,2,5,5,7,1,2,2,1,5,2,5,1,1,3,2,2,3,2
0,3,4,4,1,2,2,4,4,0,1,2008,2,2,1,1,1,1,1,0,2,1,2,1,0,3,0,9,2,3,1,1,3,0,1,1,2,2,2,3,2,1
0,3,1,4,5,2,1,3,4,0,2,2008,4,1,1,1,1,3,1,1,2,1,7,4,0,4,0,9,1,2,2,1,4,0,5,1,1,2,2,3,3,1
7,3,2,2,4,1,2,4,3,1,2,2008,1,3,2,2,1,3,5,1,2,1,4,4,2,5,7,7,2,2,1,1,2,7,7,1,1,1,2,2,0,1
0,3,3,2,3,1,3,4,3,0,2,2008,5,2,2,1,3,9,1,1,3,1,4,4,0,5,0,9,1,3,1,2,4,0,4,1,1,1,1,2,1,1
1,2,1,2,5,1,2,4,3,3,2,2008,1,2,2,5,3,1,2,0,2,2,2,2,1,3,1,0,1,2,3,1,3,1,2,2,2,1,2,2,2,1
9,3,2,2,3,1,2,4,4,6,2,2008,2,3,2,5,1,3,1,1,2,1,5,3,1,3,2,4,1,2,3,3,3,4,2,1,2,2,2,2,0,2
0,2,2,5,4,1,2,3,2,0,2,2008,2,1,1,1,1,9,4,3,2,1,1,4,0,3,0,9,1,2,1,1,5,0,7,1,2,2,1,2,0,1
4,4,2,2,4,2,2,4,2,9,3,2008,2,5,1,2,1,3,5,0,3,1,7,5,4,5,4,0,1,2,4,2,5,9,5,2,2,3,1,1,0,1
6,2,4,4,4,1,4,4,2,4,1,2008,4,1,1,9,1,5,5,1,3,1,3,4,3,5,2,0,1,2,4,3,5,6,4,1,1,3,2,3,0,1
4,2,1,2,6,2,2,2,2,2,3,2008,4,2,1,5,1,9,5,0,3,1,7,1,1,5,3,7,1,2,4,1,3,3,4,1,1,3,2,3,3,1
0,9,9,9,6,1,9,2,9,0,-9,2008,9,9,9,1,2,9,5,0,-9,1,5,3,0,5,0,9,2,3,5,9,9,0,9,1,0,0,1,-9,0,2
6,5,1,3,7,1,1,1,5,2,1,2008,5,2,3,1,1,9,1,0,3,2,9,1,3,5,2,0,1,2,1,3,4,2,5,2,2,2,2,3,0,2
3,5,1,1,4,2,2,4,5,5,1,2008,5,1,2,4,2,8,1,0,3,1,7,4,2,5,5,7,3,2,3,1,4,4,5,1,1,3,3,3,0,2
0,3,3,4,4,1,4,4,2,0,2,2008,5,1,1,1,2,9,5,0,2,1,4,4,0,5,0,9,1,2,4,5,5,0,5,1,1,3,2,2,3,2
0,5,2,4,6,1,3,4,4,0,1,2008,2,1,1,1,1,3,5,0,1,1,9,3,0,5,0,9,1,3,4,2,5,0,4,1,1,3,3,1,1,2
0,5,3,2,4,1,1,5,5,0,1,2008,5,2,1,1,1,9,4,0,3,1,7,5,0,5,0,9,1,2,6,3,3,0,5,1,1,3,3,3,0,2
5,3,3,4,4,1,3,4,2,2,1,2008,1,1,1,1,2,5,5,0,1,1,3,4,4,5,3,3,1,2,4,4,5,3,4,1,1,3,1,1,2,3
2,4,2,2,5,2,2,3,2,4,1,2008,5,4,2,2,2,3,2,1,1,1,5,4,4,5,6,3,2,2,4,4,2,2,5,2,1,3,2,1,0,3
0,5,1,1,5,1,1,3,2,0,1,2008,5,1,1,1,1,1,1,0,1,1,6,2,0,5,0,9,1,2,1,1,4,0,5,1,1,3,3,3,0,1
4,3,3,3,4,2,4,5,2,5,1,2008,3,3,1,2,1,9,1,0,1,2,4,4,3,4,3,2,1,2,4,2,3,9,7,1,2,2,2,3,0,2
0,1,1,1,1,1,1,1,2,0,3,2008,4,1,1,1,1,9,1,3,3,1,7,1,0,1,0,9,1,1,1,1,2,0,1,1,1,3,1,3,3,1
0,1,1,4,3,1,2,1,2,0,3,2008,2,2,1,1,1,3,-8,0,1,1,7,3,0,4,0,9,1,2,2,1,4,0,5,1,1,2,2,3,3,1
0,1,2,2,1,1,2,1,5,0,1,2008,5,2,1,1,1,9,5,0,3,3,1,5,0,5,0,9,1,1,1,1,5,0,1,1,1,3,1,3,0,2
7,2,2,4,4,1,2,1,2,7,2,2008,4,2,1,1,1,1,5,1,3,1,1,1,2,5,1,2,1,1,1,4,4,9,5,1,1,3,1,2,0,2
2,4,3,2,3,1,2,2,1,3,2,2008,1,2,1,1,1,1,4,3,3,1,9,2,2,5,2,7,1,2,3,2,2,3,1,8,1,3,2,2,0,1
5,9,9,9,3,1,9,3,9,9,-9,2008,9,9,9,1,1,8,1,0,-9,1,2,3,0,3,2,9,1,1,3,9,9,9,9,1,0,0,2,-9,0,2
0,4,5,5,2,1,4,3,2,0,2,2008,4,1,1,1,1,9,2,0,3,1,3,4,0,5,0,9,1,1,1,1,4,0,7,1,1,2,2,3,0,1
0,5,1,5,3,1,5,3,5,0,1,2008,1,1,1,1,1,5,2,0,3,1,3,3,0,5,0,9,1,2,3,1,3,0,1,1,2,3,1,1,0,1
1,5,1,4,3,2,1,1,5,4,3,2008,1,2,1,2,3,9,1,1,3,2,7,1,2,2,4,3,2,1,1,2,3,7,5,1,1,3,2,3,0,1
0,3,5,2,3,1,5,2,5,0,3,2008,2,2,1,1,3,9,5,1,3,1,6,6,0,5,0,9,1,3,2,4,5,0,1,1,1,2,8,3,3,2
0,1,1,2,1,3,2,2,2,0,3,2008,1,2,1,2,3,9,-9,1,3,1,1,3,0,5,0,9,1,3,4,2,2,0,1,1,1,3,3,3,3,1
6,2,2,4,2,1,3,2,4,3,3,2008,5,1,1,2,1,1,2,2,3,2,6,2,3,4,2,1,2,-8,2,1,4,4,5,1,1,3,2,3,0,2
9,2,4,3,4,1,4,4,2,1,1,2008,3,2,2,1,1,9,4,0,3,1,2,4,3,4,1,0,1,2,4,2,2,3,4,1,2,3,2,3,3,2
0,5,1,3,1,1,3,3,2,0,3,2008,1,1,2,2,1,1,4,0,3,1,9,2,0,5,0,9,1,3,2,2,4,0,4,1,2,3,8,1,0,1
6,2,4,5,4,1,4,1,2,2,1,2008,4,2,1,1,8,9,5,0,1,1,2,4,4,5,3,1,2,2,4,2,5,3,7,1,1,2,1,1,3,2
9,2,2,5,4,1,2,1,2,4,2,2008,5,1,1,1,1,1,-8,3,3,1,1,4,4,5,1,7,8,1,1,1,5,1,4,1,1,3,2,2,0,1
9,9,9,9,4,1,9,2,9,4,-9,2008,9,9,9,4,1,9,-8,0,-9,1,9,3,0,4,3,9,1,3,2,9,9,9,9,1,0,0,2,-9,2,3
0,9,9,9,4,1,9,3,9,0,-9,2008,9,9,9,1,1,9,1,0,-9,1,4,4,0,4,0,9,1,1,3,9,9,0,9,1,0,0,2,-9,0,3
0,1,4,3,3,2,4,1,4,0,3,2008,2,2,1,1,1,9,1,0,3,2,3,1,0,4,0,9,2,2,2,1,4,0,1,1,1,3,2,3,0,2
7,2,4,5,3,1,4,3,1,3,1,2008,2,2,1,1,2,1,1,3,3,1,1,5,4,5,2,7,1,2,4,5,5,4,7,1,2,2,1,3,3,1
0,5,1,1,5,1,2,1,4,0,3,2008,2,1,4,1,1,9,1,1,3,1,7,2,0,5,0,9,1,2,1,1,5,0,1,1,1,3,3,3,2,2
0,2,5,2,7,1,2,2,2,0,1,2008,1,1,3,1,1,9,5,0,3,1,9,7,0,5,0,9,1,2,1,1,2,0,1,1,1,3,3,3,3,1
0,5,1,3,4,1,2,3,4,0,3,2008,2,3,1,2,1,8,1,1,3,1,9,1,0,5,0,9,2,3,2,3,4,0,5,1,1,1,3,3,1,1
0,4,3,4,4,1,5,4,5,0,1,2008,5,2,1,1,2,9,1,0,3,1,6,4,0,5,0,9,2,-8,4,2,4,0,5,2,1,3,2,3,3,1
4,5,1,1,6,2,1,6,5,4,3,2008,2,1,1,1,1,5,5,1,3,1,7,4,4,5,4,0,1,2,1,1,1,3,5,1,1,3,3,3,0,2
7,5,2,2,7,1,1,4,4,1,3,2008,3,2,1,7,1,5,1,0,3,1,7,4,4,5,9,0,1,3,4,2,3,9,5,1,1,2,1,3,1,9
0,3,2,2,1,1,3,1,2,0,3,2008,2,1,2,4,1,9,5,0,3,1,9,1,0,3,0,9,2,-8,1,2,3,0,4,1,2,2,1,3,3,1
4,5,1,5,5,2,1,1,5,7,1,2008,3,4,1,1,2,9,1,0,3,1,6,2,2,5,9,2,3,2,2,1,3,9,5,2,1,3,2,3,3,1
0,3,4,4,1,1,4,1,2,0,1,2008,1,2,1,1,1,9,5,3,3,1,2,1,0,5,0,9,1,2,1,4,5,0,1,1,1,3,2,3,3,3
1,2,1,5,1,1,2,1,2,4,3,2008,1,1,1,2,1,9,1,2,3,1,4,1,2,5,4,6,1,1,1,1,5,2,1,1,2,3,2,3,3,1
0,2,2,5,3,2,3,5,2,0,3,2008,3,1,2,4,1,3,1,1,3,2,5,4,0,4,0,9,1,2,2,3,3,0,1,1,3,2,1,3,2,1
0,9,9,9,6,2,9,5,9,0,-9,2008,9,9,9,4,1,9,2,0,-9,1,5,5,0,4,0,9,2,2,1,9,9,0,9,2,0,0,2,-9,0,1
0,4,2,2,7,2,2,1,1,0,1,2008,4,1,1,2,1,1,4,1,3,1,6,1,0,5,0,9,2,1,4,1,4,0,5,1,2,3,2,3,2,2
0,5,1,2,7,2,1,1,2,0,2,2008,5,3,1,1,1,9,1,1,3,2,7,3,0,5,0,9,2,1,1,2,2,0,5,2,1,3,2,2,0,1
9,5,1,2,3,2,2,3,5,7,1,2008,5,2,4,5,1,9,1,1,3,2,9,5,1,3,9,3,2,3,-9,1,9,6,9,1,1,1,3,3,3,1
4,3,1,3,3,2,2,3,2,5,1,2008,3,2,4,2,1,9,1,0,3,1,6,2,4,5,6,4,1,2,2,1,2,5,4,1,1,3,2,3,0,2
0,2,5,4,1,1,4,1,1,0,3,2008,1,3,1,4,3,9,4,1,3,1,3,1,0,5,0,9,1,2,1,1,4,0,4,1,1,3,2,3,3,2
2,9,9,9,6,2,9,1,9,6,-9,2008,9,9,9,4,1,9,1,0,-9,1,4,2,0,5,9,9,1,2,1,9,9,5,9,2,0,0,2,-9,3,2
9,3,1,3,1,1,5,1,2,4,2,2008,1,4,1,4,1,9,4,0,2,1,4,3,4,5,9,2,1,1,1,1,5,9,1,1,2,1,1,2,2,1
0,3,4,4,3,1,2,2,2,0,1,2008,2,2,1,1,1,1,1,0,1,2,3,2,0,5,0,9,1,2,1,4,4,0,4,1,2,3,2,1,0,3
1,2,2,4,5,3,4,3,2,7,1,2008,5,2,5,1,3,9,1,0,1,3,7,3,4,5,7,7,3,2,3,5,4,1,5,1,1,1,3,3,2,3
0,5,1,1,7,1,2,1,3,0,3,2008,2,1,1,1,1,9,1,1,3,1,5,1,0,5,0,9,3,2,4,2,2,0,7,1,1,3,1,1,2,1
0,5,2,5,2,2,5,2,2,0,1,2008,2,2,1,2,2,9,4,0,1,2,3,2,0,5,0,9,2,1,2,1,5,0,5,2,2,3,2,1,3,2
0,9,9,9,5,2,9,2,9,0,-9,2008,9,9,9,5,2,5,2,0,-9,2,6,3,0,5,0,9,1,3,1,9,9,0,9,1,0,0,3,-9,3,1
2,4,1,4,7,3,4,1,1,6,1,2008,2,4,1,1,1,9,2,0,1,1,7,2,4,5,7,0,1,2,2,4,2,9,5,1,1,2,2,3,2,3
0,5,1,5,5,1,1,2,2,0,1,2008,5,2,1,2,1,9,2,0,1,1,6,3,0,5,0,9,1,2,1,1,4,0,5,1,1,3,3,3,0,2
5,4,4,4,5,2,4,5,5,5,1,2008,2,4,2,1,2,9,2,0,1,2,9,5,4,5,5,5,2,2,5,2,2,3,5,2,1,2,2,3,0,3
0,5,3,2,5,2,2,1,5,0,3,2008,2,3,2,2,2,9,2,0,3,2,5,2,0,5,0,9,1,2,1,2,2,0,4,2,2,3,2,3,0,1
3,3,2,2,4,1,2,1,4,6,1,2008,5,3,4,2,1,3,2,1,1,1,5,3,2,4,5,4,2,2,2,2,4,4,5,3,1,3,2,3,3,1
0,4,2,3,3,1,2,3,5,0,3,2008,5,2,1,1,2,9,2,2,1,1,9,3,0,5,0,9,1,1,3,2,4,0,5,1,2,2,2,3,2,2
4,3,2,4,2,2,3,2,3,9,1,2008,2,3,2,1,1,5,-9,3,3,2,4,2,3,5,4,1,1,2,2,2,4,4,5,1,2,2,2,1,1,2
0,4,3,5,1,2,2,1,3,0,1,2008,1,1,1,1,1,9,1,0,3,1,9,1,0,5,0,9,1,2,1,3,5,0,4,1,1,1,2,3,0,3
0,9,9,9,4,1,9,3,9,0,-9,2008,9,9,9,4,1,3,2,0,-9,1,6,2,0,4,0,9,1,3,5,9,9,0,9,2,0,0,2,-9,1,1
0,4,1,1,6,1,2,2,4,0,1,2008,4,4,1,5,2,3,2,1,3,1,6,1,0,5,0,9,2,2,2,1,3,0,5,1,1,3,3,3,0,2
5,3,1,4,4,1,1,3,2,2,1,2008,4,1,1,2,2,9,4,0,3,2,7,4,2,3,9,0,1,2,4,1,5,2,5,1,1,3,3,3,0,2
9,4,2,1,4,3,1,4,4,4,2,2008,5,1,2,4,1,9,1,0,2,1,9,4,2,5,9,7,3,2,3,1,2,5,5,1,1,3,3,3,2,3
0,4,1,3,6,1,2,4,2,0,3,2008,5,3,2,5,1,5,1,3,3,2,7,3,0,5,0,9,1,3,2,3,3,0,5,1,1,2,1,3,1,2
0,5,2,4,4,3,3,3,3,0,3,2008,5,5,1,2,2,3,1,2,3,2,4,5,0,3,0,9,1,2,3,1,4,0,5,1,1,3,3,3,0,2
0,4,2,2,3,1,2,3,2,0,2,2008,5,2,2,5,2,9,1,0,2,1,4,5,0,5,0,9,1,2,4,1,5,0,5,1,1,1,2,3,0,2
4,5,1,1,4,1,5,4,4,1,2,2008,2,1,1,1,1,9,4,2,3,1,7,4,1,2,4,3,8,3,4,1,5,1,5,1,1,2,1,3,1,1
7,5,1,3,1,2,1,1,5,5,1,2008,2,2,1,1,2,9,1,1,3,1,6,1,4,5,4,0,2,2,1,2,4,3,5,1,2,2,1,3,2,3
4,4,2,3,4,2,2,4,4,7,3,2008,5,4,2,4,2,9,1,2,3,1,5,4,2,4,5,3,2,1,4,1,4,5,5,1,2,3,2,3,0,2
0,3,4,5,4,8,2,4,2,0,2,2008,3,4,2,2,1,3,-8,0,2,1,5,5,0,4,0,9,1,2,5,2,2,0,9,1,2,3,8,2,2,2
3,3,1,2,5,1,2,2,2,5,3,2008,2,2,3,1,1,9,1,0,3,1,7,4,3,5,6,6,2,3,3,1,4,4,5,1,1,2,2,3,0,2
5,4,2,2,6,2,2,6,4,2,3,2008,4,4,2,5,2,9,5,1,3,2,5,5,2,4,6,7,2,2,5,1,2,5,5,2,1,2,2,3,3,1
3,1,4,5,1,1,5,1,1,3,1,2008,4,2,1,2,2,9,5,2,1,2,5,1,1,4,6,0,2,2,1,2,5,6,5,1,1,3,1,1,0,2
0,3,1,3,5,2,2,1,2,0,1,2008,5,3,2,2,2,9,2,3,3,2,5,4,0,5,0,9,3,3,5,1,2,0,7,2,1,3,3,3,0,2
0,4,2,1,4,2,2,3,4,0,1,2008,5,2,1,2,1,1,1,0,3,2,7,3,0,4,0,9,2,1,3,1,4,0,5,1,1,2,2,3,3,2
5,4,1,2,5,2,2,3,4,9,2,2008,5,4,2,5,1,9,1,1,3,2,6,3,1,4,9,4,1,2,5,1,2,6,4,1,1,2,2,3,0,2
9,3,2,2,4,8,2,2,2,5,1,2008,2,3,2,1,2,9,5,3,1,2,9,4,2,5,9,0,1,2,5,1,2,4,4,2,1,3,2,3,0,1
0,4,1,1,4,3,2,4,4,0,2,2008,5,5,4,2,2,3,2,0,2,3,7,4,0,3,0,9,3,-8,4,1,1,0,5,2,1,3,3,2,3,1
0,5,1,3,4,2,4,2,2,0,1,2008,4,3,1,2,2,9,2,0,1,9,7,4,0,4,0,9,1,2,2,1,4,0,5,3,1,2,3,3,3,2
0,9,9,9,5,2,9,4,9,0,-9,2008,9,9,9,1,2,9,2,0,-9,1,7,3,0,4,0,9,1,2,3,9,9,0,9,1,0,0,2,-9,0,3
0,3,2,1,5,1,2,7,2,0,1,2008,1,1,2,2,1,5,5,0,3,1,4,6,0,5,0,9,1,2,7,2,4,0,4,2,1,1,1,1,1,2
0,5,2,3,4,2,3,2,3,0,2,2008,3,3,2,1,8,3,-8,0,3,2,7,2,0,4,0,9,2,1,2,3,3,0,5,8,1,1,8,3,3,2
5,3,1,2,1,2,3,1,3,3,1,2008,3,2,1,4,2,1,1,0,3,2,3,4,1,3,9,0,2,3,1,2,3,4,5,2,3,3,2,3,1,1
9,2,2,1,4,2,2,3,3,9,1,2008,1,1,2,1,3,3,1,0,3,2,9,5,4,4,9,2,2,3,5,1,2,9,5,2,1,2,2,3,1,2
6,4,2,1,3,1,2,4,4,9,2,2008,2,2,2,2,2,1,1,0,2,2,7,5,3,3,7,0,1,1,3,2,2,7,5,1,2,3,1,3,0,2
5,2,1,2,4,1,4,3,3,3,3,2008,4,2,1,4,2,9,1,1,3,1,6,1,2,5,3,6,2,2,3,2,3,5,5,1,2,3,1,3,2,1
5,3,3,2,4,1,4,4,3,5,1,2008,5,3,2,2,2,9,5,2,1,1,9,4,1,5,9,0,1,3,4,2,3,4,5,1,2,2,3,3,0,2
5,9,9,9,4,2,9,2,9,3,-9,2008,9,9,9,2,2,9,4,0,-9,2,2,3,0,4,6,9,3,1,2,9,9,5,9,1,0,0,2,-9,0,2
0,3,2,2,4,2,2,4,2,0,3,2008,2,3,2,4,2,9,1,0,3,1,4,4,0,3,0,9,3,2,4,1,2,0,5,1,2,3,3,1,2,2
0,3,3,3,4,2,3,4,2,0,3,2008,2,2,1,1,2,1,4,0,3,1,4,4,0,5,0,9,1,1,4,1,4,0,4,1,1,2,1,3,0,2
0,5,1,3,6,2,1,1,4,0,3,2008,5,2,1,5,2,3,1,0,3,2,6,2,0,5,0,9,3,2,3,1,4,0,5,2,1,2,3,3,3,1
1,4,2,3,5,3,2,2,2,4,1,2008,4,3,2,5,8,9,1,1,1,8,5,1,1,4,5,3,3,2,4,1,4,7,4,3,1,3,3,1,3,1
0,4,1,3,1,1,3,3,3,0,3,2008,3,3,1,7,1,3,1,0,3,1,4,4,0,4,0,9,1,3,2,1,4,0,4,1,1,2,1,3,2,2
4,3,2,2,4,1,2,2,3,2,1,2008,2,2,1,1,2,9,2,1,3,2,3,2,3,5,3,1,1,3,3,2,3,5,5,2,1,2,3,3,0,3
0,3,5,5,4,1,5,4,2,0,1,2008,4,1,1,1,2,3,2,2,3,1,3,4,0,5,0,9,1,1,3,2,5,0,4,1,2,3,2,3,0,2
0,4,1,1,6,1,2,4,4,0,1,2008,3,4,2,1,1,9,2,0,3,1,5,1,0,2,0,9,3,3,1,4,2,0,5,2,1,3,2,3,3,2
0,3,5,5,4,1,5,4,2,0,2,2008,5,3,1,1,2,9,5,2,2,8,2,4,0,5,0,9,1,1,4,1,5,0,7,1,2,3,1,2,0,2
0,4,2,4,5,1,2,2,4,0,1,2008,1,2,2,2,1,3,5,0,1,2,6,4,0,5,0,9,1,3,4,4,4,0,4,1,2,3,2,1,3,2
2,1,4,4,4,2,4,4,2,7,1,2008,1,4,1,1,2,3,2,0,3,2,9,4,3,5,5,1,2,1,4,2,4,3,5,2,1,3,2,3,0,3
0,5,2,3,4,2,2,3,5,0,3,2008,2,3,1,1,1,9,1,0,3,1,7,3,0,5,0,9,1,2,3,1,3,0,5,1,1,2,3,3,0,2
0,4,1,2,5,2,1,2,4,0,3,2008,2,4,1,1,1,9,5,1,3,2,7,3,0,3,0,9,2,2,3,1,2,0,5,2,1,2,2,3,3,1
0,5,1,2,5,2,1,3,5,0,1,2008,2,4,4,1,2,5,2,0,3,1,6,3,0,5,0,9,1,1,5,2,4,0,5,1,1,2,3,3,0,2
0,3,3,3,4,1,3,4,2,0,2,2008,2,2,1,2,1,9,4,0,2,1,9,4,0,5,0,9,1,1,4,3,4,0,7,1,2,2,2,1,0,2
3,2,4,4,2,2,5,2,1,2,3,2008,2,2,1,1,1,9,5,0,3,1,4,2,2,5,3,2,1,3,2,1,5,3,9,1,1,3,3,1,3,2
3,4,3,3,4,2,3,4,3,4,1,2008,5,4,4,2,2,1,5,0,2,2,9,4,4,4,6,6,2,1,4,2,3,6,4,1,1,3,3,3,0,2
0,4,5,4,7,1,1,4,1,0,2,2008,2,1,1,5,1,1,2,0,2,1,4,4,0,5,0,9,1,2,1,1,2,0,4,1,1,3,2,2,3,1
0,3,1,1,4,8,1,4,5,0,2,2008,2,2,2,4,2,9,2,1,3,1,7,4,0,5,0,9,2,2,4,2,2,0,5,2,1,2,8,3,0,2
0,4,1,5,-9,1,2,-9,5,0,3,2008,2,2,2,9,1,9,1,0,2,1,7,-9,0,5,0,9,1,3,-9,2,2,0,1,8,2,3,1,2,2,1
3,5,1,5,-9,1,1,-9,5,5,2,2008,2,5,1,1,2,9,1,0,2,1,6,-9,3,5,3,7,1,2,-9,2,1,4,5,1,1,2,2,2,0,9
5,4,1,3,6,2,2,2,4,3,1,2008,1,2,2,1,1,9,1,1,3,1,9,4,4,5,5,0,2,2,2,1,4,5,5,2,1,3,2,3,3,2
6,3,1,2,4,1,3,4,5,1,1,2008,2,2,1,1,1,9,1,0,3,1,6,4,4,5,6,0,1,2,4,1,5,5,5,1,2,1,3,3,1,2
6,3,4,3,4,1,4,2,2,2,1,2008,2,4,1,2,1,5,4,0,3,2,3,2,4,4,4,2,1,2,4,1,3,4,4,1,3,3,2,3,0,9
9,4,4,3,3,2,3,5,2,6,1,2008,4,4,2,2,2,5,2,0,1,2,9,4,2,5,4,2,1,2,5,1,2,4,5,2,1,2,2,3,2,2
0,9,9,9,2,1,9,1,9,0,-9,2008,9,9,9,2,2,9,1,0,-9,1,5,1,0,4,0,9,1,2,1,9,9,0,9,2,0,0,2,-9,2,2
